user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the definition of risk under the EU AI Act?,"[""[Source: casebook_corpus/eu-ai-act.txt]\nArticle 3\n\nDefinitions\n\nFor the purposes of this Regulation, the following definitions apply:\n\n(1)\n\t\n\n‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments;\n\n(2)\n\t\n\n‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm;\n\n(3)\n\n[Source: casebook_corpus/meridian-ai-governance-report.txt]\nThird, the regulatory environment is heterogeneous. A single global professional services firm may be subject to the EU AI Act in Brussels, sector-specific financial AI guidance from the FCA in London, and emerging state-level AI legislation in the United States — all simultaneously. Governance frameworks must be designed to be jurisdiction-aware.\n\n---\n\n2. RISK CLASSIFICATION UNDER THE EU AI ACT\n\nThe EU AI Act's risk-based approach provides a useful starting point for professional services firms. The Act identifies four risk categories: unacceptable risk (prohibited), high risk (heavily regulated), limited risk (transparency obligations), and minimal risk (largely unregulated).\n\n[Source: casebook_corpus/eu-ai-act.txt]\n(2)\n\t\n\n‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm;\n\n(3)\n\t\n\n‘provider’ means a natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge;\n\n(4)\n\t\n\n‘deployer’ means a natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity;\n\n(5)\n\n[Source: casebook_corpus/eu-ai-act.txt]\n(b)\n\t\n\nthe estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its intended purpose, and under conditions of reasonably foreseeable misuse;\n\n(c)\n\t\n\nthe evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring system referred to in Article 72;\n\n(d)\n\t\n\nthe adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to point (a).\n\n3.   The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through the development or design of the high-risk AI system, or the provision of adequate technical information.""]","The EU AI Act defines 'risk' as the combination of the probability of an occurrence of harm and the severity of that harm.

(Source: casebook_corpus/eu-ai-act.txt)",'risk' means the combination of the probability of an occurrence of harm and the severity of that harm,1.0,0.9826477612528055,0.9999999999,1.0
"When did this the EU AI Act apply from, and when did the prohibitions on certain AI practices begin to apply?","['[Source: casebook_corpus/eu-ai-act.txt]\nSource: European Parliament and Council of the European Union\nDocument: Regulation (EU) 2024/1689 — Artificial Intelligence Act\nURL: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689\nLicence: © European Union, 1998-2024. Reproduction is authorised provided the source is acknowledged.\nRetrieved: June 2026\n\nEU AI Act\n\n2024/1689\n\t\n\n12.7.2024\n\nREGULATION (EU) 2024/1689 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL\n\nof 13 June 2024\n\nlaying down harmonised rules on artificial intelligence and amending Regulations (EC) No 300/2008, (EU) No 167/2013, (EU) No 168/2013, (EU) 2018/858, (EU) 2018/1139 and (EU) 2019/2144 and Directives 2014/90/EU, (EU) 2016/797 and (EU) 2020/1828 (Artificial Intelligence Act)\n\n(Text with EEA relevance)\n\n[Source: casebook_corpus/eu-ai-act.txt]\nThis Regulation should apply from 2 August 2026. However, taking into account the unacceptable risk associated with the use of AI in certain ways, the prohibitions as well as the general provisions of this Regulation should already apply from 2 February 2025. While the full effect of those prohibitions follows with the establishment of the governance and enforcement of this Regulation, anticipating the application of the prohibitions is important to take account of unacceptable risks and to have an effect on other procedures, such as in civil law. Moreover, the infrastructure related to the governance and the conformity assessment system should be operational before 2 August 2026, therefore the provisions on notified bodies and governance structure should apply from 2 August 2025\n\n[Source: casebook_corpus/eu-ai-act.txt]\n2.   This Regulation lays down:\n\n(a)\n\t\n\nharmonised rules for the placing on the market, the putting into service, and the use of AI systems in the Union;\n\n(b)\n\t\n\nprohibitions of certain AI practices;\n\n(c)\n\t\n\nspecific requirements for high-risk AI systems and obligations for operators of such systems;\n\n(d)\n\t\n\nharmonised transparency rules for certain AI systems;\n\n(e)\n\t\n\nharmonised rules for the placing on the market of general-purpose AI models;\n\n(f)\n\t\n\nrules on market monitoring, market surveillance, governance and enforcement;\n\n(g)\n\t\n\nmeasures to support innovation, with a particular focus on SMEs, including start-ups.\n\nArticle 2\n\nScope\n\n1.   This Regulation applies to:\n\n(a)\n\n[Source: casebook_corpus/eu-ai-act.txt]\n. This Regulation ensures the free movement, cross-border, of AI-based goods and services, thus preventing Member States from imposing restrictions on the development, marketing and use of AI systems, unless explicitly authorised by this Regulation.']","The EU AI Act generally applies from **2 August 2026**.

However, the prohibitions on certain AI practices, along with the general provisions of the Regulation, began to apply earlier, from **2 February 2025** [Source: casebook_corpus/eu-ai-act.txt].","This Regulation should apply from 2 August 2026. However, taking into account the unacceptable risk associated with the use of AI in certain ways, the prohibitions as well as the general provisions of this Regulation should already apply from 2 February 2025.",1.0,0.8678182580053382,0.9999999999,1.0
What is the definition of an AI system under the EU AI Act?,"['[Source: casebook_corpus/eu-ai-act.txt]\nThe notion of ‘AI system’ in this Regulation should be clearly defined and should be closely aligned with the work of international organisations working on AI to ensure legal certainty, facilitate international convergence and wide acceptance, while providing the flexibility to accommodate the rapid technological developments in this field. Moreover, the definition should be based on key characteristics of AI systems that distinguish it from simpler traditional software systems or programming approaches and should not cover systems that are based on the rules defined solely by natural persons to automatically execute operations. A key characteristic of AI systems is their capability to infer\n\n[Source: casebook_corpus/eu-ai-act.txt]\nArticle 3\n\nDefinitions\n\nFor the purposes of this Regulation, the following definitions apply:\n\n(1)\n\t\n\n‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments;\n\n(2)\n\t\n\n‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm;\n\n(3)\n\n[Source: casebook_corpus/eu-ai-act.txt]\n(f)\n\t\n\nthe application of the definition of an AI system as set out in Article 3, point (1).\n\nWhen issuing such guidelines, the Commission shall pay particular attention to the needs of SMEs including start-ups, of local public authorities and of the sectors most likely to be affected by this Regulation.\n\nThe guidelines referred to in the first subparagraph of this paragraph shall take due account of the generally acknowledged state of the art on AI, as well as of relevant harmonised standards and common specifications that are referred to in Articles 40 and 41, or of those harmonised standards or technical specifications that are set out pursuant to Union harmonisation law.\n\n[Source: casebook_corpus/eu-ai-act.txt]\n(a)\n\t\n\nthe intended purpose of the AI system;\n\n(b)\n\t\n\nthe extent to which an AI system has been used or is likely to be used;\n\n(c)\n\t\n\nthe nature and amount of the data processed and used by the AI system, in particular whether special categories of personal data are processed;\n\n(d)\n\t\n\nthe extent to which the AI system acts autonomously and the possibility for a human to override a decision or recommendations that may lead to potential harm;\n\n(e)']","Under the EU AI Act, an 'AI system' is defined as:

""a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments.""

Source: casebook_corpus/eu-ai-act.txt (Article 3, point 1)","'AI system' means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments",1.0,0.9815295073490471,0.9999999999,1.0
What administrative fine applies for non-compliance with the prohibition of AI practices?,"['[Source: casebook_corpus/eu-ai-act.txt]\n(e)\n\t\n\nany similar previous infringements by the Union institution, body, office or agency;\n\n(f)\n\t\n\nthe manner in which the infringement became known to the European Data Protection Supervisor, in particular whether, and if so to what extent, the Union institution, body, office or agency notified the infringement;\n\n(g)\n\t\n\nthe annual budget of the Union institution, body, office or agency.\n\n2.   Non-compliance with the prohibition of the AI practices referred to in Article 5 shall be subject to administrative fines of up to EUR 1 500 000.\n\n3.   The non-compliance of the AI system with any requirements or obligations under this Regulation, other than those laid down in Article 5, shall be subject to administrative fines of up to EUR 750 000.\n\n[Source: casebook_corpus/eu-ai-act.txt]\n2.   The Member States shall, without delay and at the latest by the date of entry into application, notify the Commission of the rules on penalties and of other enforcement measures referred to in paragraph 1, and shall notify it, without delay, of any subsequent amendment to them.\n\n3.   Non-compliance with the prohibition of the AI practices referred to in Article 5 shall be subject to administrative fines of up to EUR 35 000 000 or, if the offender is an undertaking, up to 7 % of its total worldwide annual turnover for the preceding financial year, whichever is higher.\n\n[Source: casebook_corpus/eu-ai-act.txt]\n7.   When deciding whether to impose an administrative fine and when deciding on the amount of the administrative fine in each individual case, all relevant circumstances of the specific situation shall be taken into account and, as appropriate, regard shall be given to the following:\n\n(a)\n\t\n\nthe nature, gravity and duration of the infringement and of its consequences, taking into account the purpose of the AI system, as well as, where appropriate, the number of affected persons and the level of damage suffered by them;\n\n(b)\n\t\n\nwhether administrative fines have already been applied by other market surveillance authorities to the same operator for the same infringement;\n\n(c)\n\n[Source: casebook_corpus/eu-ai-act.txt]\n(c)\n\t\n\nfailed to comply with a measure requested under Article 93;\n\n(d)\n\t\n\nfailed to make available to the Commission access to the general-purpose AI model or general-purpose AI model with systemic risk with a view to conducting an evaluation pursuant to Article 92.\n\nIn fixing the amount of the fine or periodic penalty payment, regard shall be had to the nature, gravity and duration of the infringement, taking due account of the principles of proportionality and appropriateness. The Commission shall also into account commitments made in accordance with Article 93(3) or made in relevant codes of practice in accordance with Article 56.']","For non-compliance with the prohibition of AI practices outlined in Article 5 of the EU AI Act, the administrative fines vary depending on the offender:

*   For Union institutions, bodies, offices, or agencies, the administrative fine can be up to EUR 1,500,000 (Source: casebook_corpus/eu-ai-act.txt).
*   For other offenders (such as undertakings), the administrative fine can be up to EUR 35,000,000 or, if the offender is an undertaking, up to 7% of its total worldwide annual turnover for the preceding financial year, whichever amount is higher (Source: casebook_corpus/eu-ai-act.txt).","Non-compliance with the prohibition of the AI practices referred to in Article 5 shall be subject to administrative fines of up to EUR 35 000 000 or, if the offender is an undertaking, up to 7 % of its total worldwide annual turnover for the preceding financial year, whichever is higher.",1.0,0.8165123990196645,0.9999999999,1.0
What three categories do general-purpose AI risks fall into?,"['[Source: casebook_corpus/international-ai-safety-report-2026.txt]\nRisks General-purpose AI systems are already causing real-world harm. Malicious actors have used AI-generated content to deceive and defraud; AI systems have produced harmful outputs due to errors and unexpected behaviours; and deployment is impacting labour markets, information ecosystems, and cybersecurity systems. Furthermore, advances in AI capabilities may pose further risks that have not yet materialised. Understanding these risks, including their mechanisms, severity, and likelihood, is essential for effective risk management and governance. This chapter examines risks from general-purpose AI systems that arise at the frontier of their capabilities\n\n[Source: casebook_corpus/international-ai-safety-report-2026.txt]\n. This chapter examines risks from general-purpose AI systems that arise at the frontier of their capabilities. It organises these risks into three categories: (1) Risks from misuse, where actors deliberately use AI systems to cause harm; (2) Risks from malfunctions, where AI systems fail or behave in unexpected and harmful ways; and (3) Systemic risks, which arise from widespread deployment across society and the economy. These categories are not exhaustive or mutually exclusive – risks may cut across multiple categories – but they provide a structured way to analyse different mechanisms of harm. This chapter is not an exhaustive survey of AI risks, and inclusion here does not necessarily imply a risk is likely, severe, or requires policy action\n\n[Source: casebook_corpus/uk-aisi-report.txt]\nThis Report focuses on the most capable general-purpose AI systems and the emerging risks associated with them. ‘ General-purpose AI’ refers to AI models and systems that can perform a wide variety of tasks. ‘Emerging risks’ are risks that arise at the frontier of general-purpose AI capabilities. Some of these risks are already materialising, with documented harms; others remain more uncertain but could be severe if\xa0they materialise.\n\n[Source: casebook_corpus/uk-aisi-report.txt]\nThis chapter examines risks from general-purpose AI systems that arise at the frontier of their capabilities. It organises these risks into three categories: (1) Risks from misuse , where actors deliberately use AI systems to cause harm; (2) Risks from malfunctions , where AI systems fail or behave in unexpected and harmful ways; and (3) Systemic risks , which arise from widespread deployment across society and the economy. These categories are not exhaustive or mutually exclusive\xa0– risks may cut across multiple categories\xa0– but they provide a structured way to analyse different mechanisms of harm.']","General-purpose AI risks fall into three categories:

1.  **Risks from misuse:** This occurs when actors deliberately use AI systems to cause harm.
2.  **Risks from malfunctions:** These arise when AI systems fail or behave in unexpected and harmful ways.
3.  **Systemic risks:** These risks emerge from the widespread deployment of AI across society and the economy.

These categories are not exhaustive or mutually exclusive, and a single risk may span multiple categories.

(Source: international-ai-safety-report-2026.txt, uk-aisi-report.txt)","General-purpose AI risks fall into three categories: malicious use, malfunctions, and systemic risks.",1.0,0.9591397190473854,0.9999999999,1.0
What effect has reliance on AI tools been shown to have on users?,"['[Source: https://www.microsoft.com/en-us/research/wp-content/uploads/2022/06/Aether-Overreliance-on-AI-Review-Final-6.21.22.pdf]\nand decisions. For AI, ordering effects occur based on whether users see the AI system succeed or fail during early interactions. The timing of AI errors significantly affects user reliance. 1. Users over-rely on AI if it does well during initial interactions but under-rely on it if it fails during initial interactions. Users who see AI perform well early on often develop automation bias and complacency, making significantly more errors due to positive first impressions (Nourani et al. 2021). [...] on AI. 1. Explanations increase user reliance on all AI recommendations. Showing explanations to users with high task familiarity leads to automation bias (Schaffer et al. 2019). Increasing the level of detail in explanations leads to more trust in AI but also overreliance on AI (Bussone et al. 2015). In fact, even explanations with no basis in the AI’s actual working can make users trust AI more (Lai & Tan 2019; Ehsan et al. 2021). The effects become worse when AI is used in subjective [...] confirmation) For example, explanations influence the perceived intelligibility and working of AI systems (Bussone et al. 2015). • Consider running a study to see if users are more likely to accept AI recommendations with/without accompanying explanations. d. Ordering effects (e.g., success vs. failure). First impressions significantly affect user reliance on AI. • Some users see failures first and develop algorithmic aversion; use onboarding to help them see success scenarios and get a\n\n[Source: https://www.tandfonline.com/doi/full/10.1080/2331186X.2025.2591503]\nand academic effort with automated responses, leading to diminish cognitive engagement. Conversely, responsible use of AI is predicated on an integrative approach that harmonizes human judgment with AI capabilities. This paradigm emphasizes the necessity of robust ethical frameworks, effective governance, and user education to foster appropriate reliance on AI tools (Giordani & Zeko, Citation 2024). The effective presentation of AI uncertainties may guide users toward making more informed [...] A significant ethical concern is the potential for AI tools to undermine academic integrity and proper ethical practices among students, as highlighted by Pan (Citation 2024). The study reveals that many students utilize AI tools without adequate guidance on ethical writing procedures, which can lead to significant issues related to plagiarism and the authenticity of academic work. Hence, institutions must establish clear ethical guidelines that delineate acceptable uses of AI, emphasizing the [...] The findings of this study highlight the complex relationship between over-reliance on AI and its negative consequences on student learning, emphasizing the critical moderating roles of ethical concerns and institutional policies. The research reveals that while AI tools offer significant benefits in education, excessive dependence on them leads to reduced critical thinking, diminished motivation, and heightened concerns about academic integrity. Students recognize both the advantages and risks\n\n[Source: https://www.ie.edu/center-for-health-and-well-being/blog/ais-cognitive-implications-the-decline-of-our-thinking-skills]\nAnother issue identified was the role of algorithmic bias in shaping users’ exposure to information. AI tools often filter content based on prior interactions, reinforcing existing biases and limiting exposure to diverse perspectives. Interestingly, the study found a non-linear relationship between AI use and cognitive impact—moderate AI usage did not significantly affect critical thinking, but excessive reliance led to diminishing cognitive returns. [...] The study also examined the impact of age and education on AI reliance. Younger individuals demonstrated a stronger dependence on AI tools and scored lower in critical thinking assessments compared to older participants. However, higher education levels correlated with better reasoning abilities, even among those exposed to AI. Additionally, increased trust in AI-generated content led to reduced independent verification of information, raising concerns about declining skepticism. [...] A recent study by Gerlich (2025) explores the relationship between AI usage and cognitive skills, highlighting several key concerns. The research found a negative correlation between frequent AI usage and critical-thinking abilities, suggesting that individuals who rely heavily on automated tools may struggle with independent reasoning. One contributing factor is cognitive offloading, where AI users engage less in deep, reflective thinking and instead prefer quick AI-generated solutions.']","Reliance on AI tools has been shown to have several effects on users:

*   **Automation Bias and Complacency** Users tend to over-rely on AI if it performs well during initial interactions, which can lead to more errors due to a positive first impression (Nourani et al., 2021, as cited by Microsoft.com). Explanations, even those lacking a basis in the AI's actual workings, can increase user trust and overreliance (Bussone et al., 2015; Lai & Tan, 2019; Ehsan et al., 2021, as cited by Microsoft.com).
*   **Diminished Cognitive Engagement and Critical Thinking** Excessive dependence on AI can lead to reduced critical thinking, diminished motivation, and cognitive offloading, where users engage less in deep, reflective thinking (Gerlich, 2025, as cited by IE.edu; Tandfonline.com). Moderate AI usage, however, may not significantly affect critical thinking, but excessive reliance leads to diminishing cognitive returns (IE.edu).
*   **Algorithmic Aversion** Conversely, users may under-rely on AI if it fails during initial interactions (Microsoft.com).
*   **Impact on Academic Integrity** Students who use AI tools without adequate guidance on ethical writing procedures may encounter issues related to plagiarism and the authenticity of academic work (Pan, 2024, as cited by Tandfonline.com).
*   **Reduced Independent Verification and Skepticism** Increased trust in AI-generated content can lead to reduced independent verification of information, raising concerns about declining skepticism (IE.edu).
*   **Reinforcement of Existing Biases** AI tools can filter content based on prior interactions, reinforcing existing biases and limiting exposure to diverse perspectives (IE.edu).","Early evidence suggests that reliance on AI tools can weaken critical thinking skills and encourage 'automation bias', the tendency to trust AI system outputs without sufficient scrutiny.",1.0,0.9182315550266202,0.9999999999,1.0
What percentage of software vulnerabilities was an AI agent able to identify in a competition?,"[""[Source: https://medium.com/@danieldkang/measuring-ai-agents-ability-to-exploit-web-applications-ba4225aa281f]\nWe evaluated three agent frameworks using OpenAI’s latest GPT-4o model (at the time of this study; gpt-4o-2024–11–20): Cybench Agent (or Cy-Agent), Teams of Agent (or T-Agent), and AutoGPT.\n\nAs shown, AI agents successfully exploited up to 13% of web application vulnerabilities in the zero-day setting (with no prior knowledge) and 25% in the one-day setting (with basic vulnerability information).\n\n[Source: https://www.mindstudio.ai/blog/ai-cybersecurity-zero-day-exploits-2025]\nA team of university researchers published a paper in early 2024 that quietly alarmed the security community. Their finding: GPT-4, given the right scaffolding, could autonomously identify and exploit one-day vulnerabilities in real-world software with an 87% success rate. No human in the loop. No manual analysis. Just an AI agent reading CVE descriptions and writing working exploits. [...] The University of Illinois Urbana-Champaign study that made waves in 2024 showed GPT-4 agents successfully exploiting known vulnerabilities when given CVE descriptions. The same agents, when given no description at all, still found exploits about 7% of the time.\n\nThat 7% number sounds small. But at AI speed and cost — where an agent can audit thousands of code paths simultaneously — 7% across a massive surface area means the actual vulnerability discovery rate is significant. [...] In the University of Illinois Urbana-Champaign study, GPT-4 agents given no CVE description at all still found exploits about 7% of the time. At AI speed and cost — where an agent can audit thousands of code paths simultaneously — 7% across a massive surface area translates into a significant real-world discovery rate. Follow-up research has pushed those numbers higher with better scaffolding, targeted prompting, and security-focused fine-tuning.\n\n[Source: https://www.linkedin.com/posts/billyjspears_ai-security-vulnerabilities-critical-wake-up-activity-7404520548963459072-vOgy]\nDid you know that 🤯 94 percent of today’s AI agents can be exploited the moment they get system access? 🤯 A new study found that 94 percent of today’s LLMs can be exploited when they operate as system-level agents. Not fringe tools. Not experimental models. The platforms enterprises deploy every day. Here’s the part nobody is talking about: AI agents trust other AI agents more than they trust you. That’s the biggest security blind spot we’ve ever created. 1️⃣ RAG systems? Also vulnerable. One [...] # 94% of AI Agents Vulnerable to Exploitation\n\nThis title was summarized by AI from the post below.\n\n👉🤖 Billy Spears 📢♾️\n\n Report this post [...] receive a verified participation certificate. Feel free to share this link with your network. Let's elevate the conversation on secure AI together!""]","Based on recent studies:

*   AI agents were able to exploit up to **13%** of web application vulnerabilities in a zero-day setting (with no prior knowledge) and **25%** in a one-day setting (with basic vulnerability information). (Source: https://medium.com/@danieldkang/measuring-ai-agents-ability-to-exploit-web-applications-ba4225aa281f)
*   A University of Illinois Urbana-Champaign study showed that GPT-4 agents successfully exploited known vulnerabilities with an **87%** success rate when provided with CVE descriptions. Without any description, these agents still found exploits approximately **7%** of the time. (Source: https://www.mindstudio.ai/blog/ai-cybersecurity-zero-day-exploits-2025)","In one competition, an AI agent identified 77% of the vulnerabilities present in real software.",1.0,0.7555526430550544,0.0,0.0
What is risk identification?,"['[Source: casebook_corpus/international-ai-safety-report-2026.txt]\nRisk identification Risk identification is the process of finding, recognising, and describing risks. Comprehensive risk identification typically encompasses capability-driven assessments, which test whether models possess specific dangerous 106\n\n[Page 107]\n\n[Source: casebook_corpus/uk-aisi-report.txt]\nRisk identification is the process of finding, recognising, and describing risks. Comprehensive risk identification typically encompasses capability-driven assessments, which test whether models possess specific dangerous capabilities, 977 as well as risk modelling 978 and forecasting, 715 which are used to explore existing and emerging risks. Table\xa03.1 provides various examples of risk identification practices. Risk identification also draws on engagement with relevant experts and communities to understand the broader context of how risks emerge. 979 980 Mechanisms such as bug bounty programmes can support this process by incentivising the identification of previously unknown vulnerabilities 981 (Table\xa03.1)\n\n[Source: casebook_corpus/international-ai-safety-report-2026.txt]\nRisk management practices capabilities (977), as well as risk modelling (978) and forecasting (715*), which are used to explore existing and emerging risks. Table 3.1 provides various examples of risk identification practices. Risk identification also draws on engagement with relevant experts and communities to understand the broader context of how risks emerge (979, 980). Mechanisms such as bug bounty programmes can support this process by incentivising the identification of previously unknown vulnerabilities (981) (Table 3.1). A key goal of risk identification is to account for both well-known, well-understood risks and potential future risks that remain uncertain or poorly characterised (982)\n\n[Source: casebook_corpus/international-ai-safety-report-2026.txt]\n. Risk management: The systematic process of identifying, evaluating, mitigating, and governing risks. Risk register: A risk management tool that serves as a repository of all risks, their prioritisation, owners, and mitigation plans.']","Risk identification is the process of finding, recognizing, and describing risks. This process often includes:

*   **Capability-driven assessments:** These test whether AI models possess specific dangerous capabilities.
*   **Risk modeling and forecasting:** These methods are used to explore existing and emerging risks.
*   **Engagement with experts and communities:** This helps to understand the broader context of how risks emerge.
*   **Mechanisms like bug bounty programs:** These incentivize the identification of previously unknown vulnerabilities.

A key goal of risk identification is to account for both well-known risks and potential future risks that may be uncertain or poorly characterized.

Sources:
*   International AI Safety Report 2026
*   UK AI Safety Institute Report","Risk identification is the process of finding, recognising, and describing risks. Comprehensive risk identification typically encompasses capability-drive assessment, which test whether models possess specific dangerous capabilities, as well as risk modelling and forecasting, which are used to explore existing and emerging risks.",1.0,0.9999999999999994,0.9999999999,1.0
What are the four risk categories identified by the EU AI Act's risk-based approach?,"[""[Source: casebook_corpus/meridian-ai-governance-report.txt]\nThird, the regulatory environment is heterogeneous. A single global professional services firm may be subject to the EU AI Act in Brussels, sector-specific financial AI guidance from the FCA in London, and emerging state-level AI legislation in the United States — all simultaneously. Governance frameworks must be designed to be jurisdiction-aware.\n\n---\n\n2. RISK CLASSIFICATION UNDER THE EU AI ACT\n\nThe EU AI Act's risk-based approach provides a useful starting point for professional services firms. The Act identifies four risk categories: unacceptable risk (prohibited), high risk (heavily regulated), limited risk (transparency obligations), and minimal risk (largely unregulated).\n\n[Source: casebook_corpus/eu-ai-act.txt]\nCHAPTER III\n\nHIGH-RISK AI SYSTEMS\n\nSECTION 1\n\nClassification of AI systems as high-risk\n\nArticle 6\n\nClassification rules for high-risk AI systems\n\n1.   Irrespective of whether an AI system is placed on the market or put into service independently of the products referred to in points (a) and (b), that AI system shall be considered to be high-risk where both of the following conditions are fulfilled:\n\n(a)\n\t\n\nthe AI system is intended to be used as a safety component of a product, or the AI system is itself a product, covered by the Union harmonisation legislation listed in Annex I;\n\n(b)\n\n[Source: casebook_corpus/eu-ai-act.txt]\nHigh-risk AI systems should only be placed on the Union market, put into service or used if they comply with certain mandatory requirements. Those requirements should ensure that high-risk AI systems available in the Union or whose output is otherwise used in the Union do not pose unacceptable risks to important Union public interests as recognised and protected by Union law\n\n[Source: casebook_corpus/eu-ai-act.txt]\n7.   The AI Office shall encourage and facilitate the drawing up of codes of practice at Union level to facilitate the effective implementation of the obligations regarding the detection and labelling of artificially generated or manipulated content. The Commission may adopt implementing acts to approve those codes of practice in accordance with the procedure laid down in Article 56 (6). If it deems the code is not adequate, the Commission may adopt an implementing act specifying common rules for the implementation of those obligations in accordance with the examination procedure laid down in Article 98(2).\n\nCHAPTER V\n\nGENERAL-PURPOSE AI MODELS\n\nSECTION 1\n\nClassification rules\n\nArticle 51\n\nClassification of general-purpose AI models as general-purpose AI models with systemic risk""]","The EU AI Act identifies four risk categories:

1.  **Unacceptable risk:** These AI systems are prohibited.
2.  **High risk:** These AI systems are heavily regulated.
3.  **Limited risk:** These AI systems have transparency obligations.
4.  **Minimal risk:** These AI systems are largely unregulated.

(Source: Meridian AI Governance report)"," The Act identifies four risk categories: unacceptable risk (prohibited), high risk (heavily regulated), limited risk (transparency obligations), and minimal risk (largely unregulated).",1.0,0.9774081122983956,0.9999999999,1.0
What are the four functions that make up the AI RMF Core?,"['[Source: casebook_corpus/nist-ai-rmf.txt]\nPart 2: Core and Profiles\n\n5. AI RMF Core\n\nThe AI RMF Core provides outcomes and actions that enable dialogue, understanding, and activities to manage AI risks and responsibly develop trustworthy AI systems. The Core is composed of four functions: GOVERN, MAP, MEASURE, and MANAGE. Each of these high-level functions is broken down into categories and subcategories. Categories and subcategories are subdivided into specific actions and outcomes. Actions do not constitute a checklist, nor are they necessarily an ordered set of steps.\n\nRisk management should be continuous, timely, and performed throughout the AI system lifecycle dimensions. AI RMF Core functions should be carried out in a way that reflects diverse and multidisciplinary perspectives.\n\n[Source: casebook_corpus/nist-ai-rmf.txt]\n6. AI RMF Profiles\n\nAI RMF use-case profiles are implementations of the AI RMF functions, categories, and subcategories for a specific setting or application based on the requirements, risk tolerance, and resources of the Framework user. Profiles may illustrate and offer insights into how risk can be managed at various stages of the AI lifecycle or in specific sector, technology, or end-use applications.\n\n[Source: casebook_corpus/nist-ai-rmf.txt]\n3. Human-AI interaction results vary. Under certain conditions – for example, in perceptual-based judgment tasks – the AI part of the human-AI interaction can amplify human biases, leading to more biased decisions than the AI or human alone. When these variations are judiciously taken into account in organizing human-AI teams, however, they can result in complementarity and improved overall performance.\n\n4. Presenting AI system information to humans is complex. Humans perceive and derive meaning from AI system output and explanations in different ways, reflecting different individual preferences, traits, and skills.\n\n\nAppendix D: Attributes of the AI RMF\n\nThe AI RMF strives to:\n\n[Source: casebook_corpus/nist-ai-rmf.txt]\nThe AI RMF refers to an AI system as an engineered or machine-based system that can, for a given set of objectives, generate outputs such as predictions, recommendations, or decisions influencing real or virtual environments. AI systems are designed to operate with varying levels of autonomy (Adapted from: OECD Recommendation on AI:2019; ISO/IEC 22989:2022).']","The four functions that make up the AI RMF Core are: GOVERN, MAP, MEASURE, and MANAGE. These functions provide outcomes and actions to manage AI risks and develop trustworthy AI systems.

Source: nist-ai-rmf.txt","The Core is composed of four functions: GOVERN, MAP, MEASURE, and MANAGE. Each of these high-level functions is broken down into categories and subcategories.",1.0,0.9999999999999997,0.9999999999,1.0
